yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,datavaluetype,stratificationcategory1,stratification1,locationid,topicid,questionid,datavaluetypeid,stratificationcategoryid1,stratificationid1
2010,2010,OR,Oregon,NVSS,Cardiovascular Disease,Mortality from heart failure,Number,Race/Ethnicity,American Indian or Alaska Native,41,CVD,CVD1_4,NMBR,RACE,AIAN
2019,2019,AZ,Arizona,YRBSS,Alcohol,Alcohol use among youth,Crude Prevalence,Gender,Female,04,ALC,ALC1_1,CRDPREV,GENDER,GENF
2019,2019,OH,Ohio,YRBSS,Alcohol,Alcohol use among youth,Crude Prevalence,Gender,Male,39,ALC,ALC1_1,CRDPREV,GENDER,GENM
2019,2019,US,United States,YRBSS,Alcohol,Alcohol use among youth,Crude Prevalence,Race/Ethnicity,"Asian, non-Hispanic",59,ALC,ALC1_1,CRDPREV,RACE,ASN
2015,2015,VI,Virgin Islands,YRBSS,Alcohol,Alcohol use among youth,Crude Prevalence,Gender,Male,78,ALC,ALC1_1,CRDPREV,GENDER,GENM
2020,2020,AL,Alabama,PRAMS,Alcohol,Alcohol use before pregnancy,Crude Prevalence,Race/Ethnicity,"White, non-Hispanic",01,ALC,ALC1_2,CRDPREV,RACE,WHT
2015,2015,DE,Delaware,PRAMS,Alcohol,Alcohol use before pregnancy,Crude Prevalence,Overall,Overall,10,ALC,ALC1_2,CRDPREV,OVERALL,OVR
2019,2019,FL,Florida,PRAMS,Alcohol,Alcohol use before pregnancy,Crude Prevalence,Overall,Overall,12,ALC,ALC1_2,CRDPREV,OVERALL,OVR
2018,2018,KS,Kansas,PRAMS,Alcohol,Alcohol use before pregnancy,Crude Prevalence,Overall,Overall,20,ALC,ALC1_2,CRDPREV,OVERALL,OVR
2013,2013,MS,Mississippi,PRAMS,Alcohol,Alcohol use before pregnancy,Crude Prevalence,Overall,Overall,28,ALC,ALC1_2,CRDPREV,OVERALL,OVR
2015,2015,NJ,New Jersey,PRAMS,Alcohol,Alcohol use before pregnancy,Crude Prevalence,Race/Ethnicity,Hispanic,34,ALC,ALC1_2,CRDPREV,RACE,HIS
2020,2020,PA,Pennsylvania,PRAMS,Alcohol,Alcohol use before pregnancy,Crude Prevalence,Overall,Overall,42,ALC,ALC1_2,CRDPREV,OVERALL,OVR
2018,2018,SD,South Dakota,PRAMS,Alcohol,Alcohol use before pregnancy,Crude Prevalence,Overall,Overall,46,ALC,ALC1_2,CRDPREV,OVERALL,OVR
2011,2011,US,United States,PRAMS,Alcohol,Alcohol use before pregnancy,Crude Prevalence,Overall,Overall,59,ALC,ALC1_2,CRDPREV,OVERALL,OVR
2018,2018,US,United States,PRAMS,Alcohol,Alcohol use before pregnancy,Crude Prevalence,Race/Ethnicity,"White, non-Hispanic",59,ALC,ALC1_2,CRDPREV,RACE,WHT
2012,2012,VT,Vermont,PRAMS,Alcohol,Alcohol use before pregnancy,Crude Prevalence,Overall,Overall,50,ALC,ALC1_2,CRDPREV,OVERALL,OVR
2013,2013,NJ,New Jersey,YRBSS,Alcohol,Binge drinking prevalence among youth,Crude Prevalence,Overall,Overall,34,ALC,ALC2_1,CRDPREV,OVERALL,OVR
2011,2011,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,02,ALC,ALC6_0,NMBR,OVERALL,OVR
2016,2016,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,02,ALC,ALC6_0,NMBR,GENDER,GENM
2019,2019,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,Number,Overall,Overall,02,ALC,ALC6_0,NMBR,OVERALL,OVR
2016,2016,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,Number,Race/Ethnicity,"Black, non-Hispanic",01,ALC,ALC6_0,NMBR,RACE,BLK
2012,2012,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Male,05,ALC,ALC6_0,NMBR,GENDER,GENM
2019,2019,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,05,ALC,ALC6_0,NMBR,GENDER,GENF
2018,2018,AZ,Arizona,NVSS,Alcohol,Chronic liver disease mortality,Number,Gender,Female,04,ALC,ALC6_0,NMBR,GENDER,GENF
2020,2020,CO,Colorado,NVSS,Alcohol,Chronic liver disease mortality,Age-adjusted Rate,Race/Ethnicity,Hispanic,08,ALC,ALC6_0,AGEADJRATE,RACE,HIS
